ordnum,orddetid,custcode,name,Ship to,descr,count size,Condition,variety,Sizes,Label,Order Status,Sum of pallets,Sum of qty,shpDate,deldate,dp,todp,Pallet
2204425,864190,TA3880,TARGET WEST JEFFERSON,TARGET WEST JEFFERSON,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,648,4/28/2025 0:00,5/1/2025 0:00,14,1810,4.5
2803971,856545,INGLES,INGLES MARKET,INGLES MARKET,Blueberries,DRYPINTX12,.,.,.,ALP,Open,4,576,4/28/2025 0:00,4/29/2025 0:00,27,1441,4
2804000,860319,TAFATN,TAYLOR FARMS TENNESSE,TAYLOR FARMS TENNESSE,Blueberries,3.6KBULK,.,.,.,ALP,Open,,200,4/24/2025 0:00,4/25/2025 0:00,17,1820,0.8
2804000,860399,TAFATN,TAYLOR FARMS TENNESSE,TAYLOR FARMS TENNESSE,Blueberries,3.6KBULK,.,.,.,ALP,Open,,600,4/24/2025 0:00,4/25/2025 0:00,17,1820,2.5
2804001,860323,TAFATN,TAYLOR FARMS TENNESSE,TAYLOR FARMS TENNESSE,Blueberries,3.6KBULK,.,.,.,ALP,Open,,2000,4/29/2025 0:00,5/1/2025 0:00,77,1820,8.3
2804001,860324,TAFATN,TAYLOR FARMS TENNESSE,TAYLOR FARMS TENNESSE,Blueberries,3.6KBULK,.,.,.,ALP,Open,,800,4/29/2025 0:00,5/1/2025 0:00,77,1820,3.3
2804020,860520,SUPEWE,Superior Sales West inc.,Superior Sales West inc.,Blueberries,DRYPINTX12,.,.,.,ALP,Open,,288,4/29/2025 0:00,4/29/2025 0:00,2,1796,2
2904090,859289,CAPPRO,CAPITOL CITY PRODUCE,CAPITOL CITY PRODUCE,Blueberries,DRYPINTX12,.,.,.,ALP,Open,,4080,5/1/2025 0:00,5/3/2025 0:00,77,1159,28.3
2904097,858718,RUSBIL,Russ Davis Wholesale BILLING,Russ Davis Wholesale,Blueberries,6OZX6,.,.,.,ALP,Open,,80,4/23/2025 0:00,4/29/2025 0:00,27,2014,0.2
2904109,860189,TRJOES,Trader Joes Company,TRADER JOES DAYTONA,Blueberries,18OZX12,OR,.,.,HIP,Open,,200,4/28/2025 0:00,4/30/2025 0:00,14,2071,2
2904109,860190,TRJOES,Trader Joes Company,TRADER JOES DAYTONA,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,288,4/28/2025 0:00,4/30/2025 0:00,14,2071,2
2904110,860192,TRJOES,Trader Joes Company,TRADER JOES DAYTONA,Blueberries,18OZX12,OR,.,.,HIP,Open,,200,4/30/2025 0:00,5/2/2025 0:00,77,2071,2
2904110,860191,TRJOES,Trader Joes Company,TRADER JOES DAYTONA,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,288,4/30/2025 0:00,5/2/2025 0:00,77,2071,2
2904122,860366,RUSBIL,Russ Davis Wholesale BILLING,Russ Davis Wholesale,Blueberries,6OZX6,.,.,.,ALP,Open,,60,4/28/2025 0:00,5/3/2025 0:00,27,2014,0.2
2904126,861241,ALBSHA,SHAWS SUPERMARKETS,SHAWS SUPERMARKETS,Blueberries,18OZX8,.,.,.,ALP,Open,,432,5/1/2025 0:00,5/4/2025 0:00,77,1029,3
2904126,861242,ALBSHA,SHAWS SUPERMARKETS,SHAWS SUPERMARKETS,Blueberries,DRYPINTX12,.,.,.,ALP,Open,,720,5/1/2025 0:00,5/4/2025 0:00,77,1029,5
2904130,861127,MARBIL,Markon Cooperative inc,BEN E KEITH AMARILLO,Blueberries,6OZX12,.,.,.,ALP,Open,,24,5/2/2025 0:00,5/4/2025 0:00,2,2004,0.1
2904131,861131,MARBIL,Markon Cooperative inc,Shamrock Foods Denver,Blueberries,6OZX12,.,.,.,ALP,Open,,420,4/28/2025 0:00,4/30/2025 0:00,2,1988,1.8
2904132,862401,FRPODA,"FreshPoint Dallas, Inc.","FreshPoint Dallas, Inc.",Blueberries,DRYPINTX12,.,.,.,ALP,Open,2,288,4/28/2025 0:00,4/30/2025 0:00,2,1344,2
